time_s,cmd_x,cmd_y,actual_x,actual_y
24.845380,240.336,0.000,236.205,4.131
24.871774,247.059,0.000,242.928,4.131
24.898219,253.782,0.000,249.650,4.131
24.924206,260.504,0.000,256.373,4.131
24.950761,267.227,0.000,263.096,4.131
24.976867,273.950,0.000,269.818,4.131
25.002941,280.672,0.000,276.541,4.131
25.029193,287.395,0.000,283.264,4.131
25.055586,294.118,0.000,289.987,4.131
25.081859,300.840,0.000,296.709,4.131
25.107661,307.563,0.000,303.432,4.131
25.133960,314.286,0.000,310.155,4.131
25.159772,321.008,0.000,316.877,4.131
25.186018,327.731,0.000,323.600,4.131
25.212320,334.454,0.000,330.323,4.131
25.238127,341.176,0.000,337.045,4.131
25.264040,347.899,0.000,343.768,4.131
25.290309,354.622,0.000,350.491,4.131
25.316653,361.345,0.000,357.213,4.131
25.342967,368.067,0.000,363.936,4.131
25.370738,374.790,0.000,370.659,4.131
25.396562,381.513,0.000,377.381,4.131
25.422572,388.235,0.000,384.104,4.131
25.449109,394.958,0.000,390.827,4.131
25.475022,401.681,0.000,397.550,4.131
25.501536,408.403,0.000,404.272,4.131
25.528097,415.126,0.000,410.995,4.131
25.554523,421.849,0.000,417.718,4.131
25.580779,428.571,0.000,424.440,4.131
25.607089,435.294,0.000,431.163,4.131
25.633613,442.017,0.000,437.886,4.131
25.660010,448.739,0.000,444.608,4.131
25.686056,455.462,0.000,451.331,4.131
25.712618,462.185,0.000,458.054,4.131
25.738954,468.908,0.000,464.776,4.131
25.764972,475.630,0.000,471.499,4.131
25.790971,482.353,0.000,478.222,4.131
25.817584,489.076,0.000,484.944,4.131
25.843610,495.798,0.000,491.667,4.131
25.869993,502.521,0.000,498.390,4.131
25.896493,509.244,0.000,505.113,4.131
25.922359,515.966,0.000,511.835,4.131
25.948340,522.689,0.000,518.558,4.131
25.974626,529.412,0.000,525.281,4.131
26.001177,536.134,0.000,532.003,4.131
26.027605,542.857,0.000,538.726,4.131
26.054004,549.580,0.000,545.449,4.131
26.080200,556.303,0.000,552.171,4.131
26.106276,563.025,0.000,558.894,4.131
26.132754,569.748,0.000,565.617,4.131
26.158683,576.471,0.000,572.339,4.131
26.185938,583.193,0.000,579.062,4.131
26.211884,589.916,0.000,585.785,4.131
26.238629,596.639,0.000,592.508,4.131
26.264534,603.361,0.000,599.230,4.131
26.290696,610.084,0.000,605.953,4.131
26.316865,616.807,0.000,612.676,4.131
26.342927,623.529,0.000,619.398,4.131
26.369507,630.252,0.000,626.121,4.131
26.396305,636.975,0.000,632.844,4.131
26.422896,643.697,0.000,639.566,4.131
26.449233,650.420,0.000,646.289,4.131
26.475547,657.143,0.000,653.012,4.131
26.501470,663.866,0.000,659.734,4.131
26.527328,670.588,0.000,666.457,4.131
26.553144,677.311,0.000,673.180,4.131
26.579408,684.034,0.000,679.902,4.131
26.605716,690.756,0.000,686.625,4.131
26.632026,697.479,0.000,693.348,4.131
26.658427,704.202,0.000,700.071,4.131
26.684487,710.924,0.000,706.793,4.131
26.710721,717.647,0.000,713.516,4.131
26.736985,724.370,0.000,720.239,4.131
26.763088,731.092,0.000,726.961,4.131
26.789257,737.815,0.000,733.684,4.131
26.815093,744.538,0.000,740.407,4.131
26.841381,751.261,0.000,747.129,4.131
26.867315,757.983,0.000,753.852,4.131
26.893498,764.706,0.000,760.575,4.131
26.919575,771.429,0.000,767.297,4.131
26.946188,778.151,0.000,774.020,4.131
26.972198,784.874,0.000,780.743,4.131
26.998393,791.597,0.000,787.466,4.131
27.024676,798.319,0.000,794.188,4.131
27.050887,805.042,0.000,800.911,4.131
27.077137,811.765,0.000,807.634,4.131
27.103497,818.487,0.000,814.356,4.131
27.130016,825.210,0.000,821.079,4.131
27.156521,831.933,0.000,827.802,4.131
